epoch,nll,step,test_loss,test_mae,test_rmse,train_loss_epoch,train_loss_step,train_mae_epoch,train_rmse_epoch,val_loss,val_mae,val_rmse
0,,4,,,,,13.897928237915039,,,,,
0,,9,,,,,4.715207099914551,,,,,
0,,14,,,,,5.738522052764893,,,,,
0,,19,,,,,6.446197509765625,,,,,
0,,24,,,,,6.518669128417969,,,,,
0,,29,,,,,6.454286575317383,,,,,
0,,34,,,,,6.057852745056152,,,,,
0,,39,,,,,5.377693176269531,,,,,
0,,44,,,,,5.063838481903076,,,,,
0,,49,,,,,4.588345527648926,,,,,
0,,51,,,,35.52157211303711,,30.11946678161621,34.251976013183594,,,
1,,54,,,,,4.372137546539307,,,,,
1,,59,,,,,4.454723834991455,,,,,
1,,64,,,,,4.317399978637695,,,,,
1,,69,,,,,4.219496726989746,,,,,
1,,74,,,,,4.3840813636779785,,,,,
1,,79,,,,,4.087146759033203,,,,,
1,,84,,,,,4.217309951782227,,,,,
1,,89,,,,,4.434088706970215,,,,,
1,,94,,,,,4.058351516723633,,,,,
1,,99,,,,,4.079601764678955,,,,,
1,,103,,,,4.216952800750732,,30.724681854248047,34.81010818481445,,,
2,,104,,,,,3.970337390899658,,,,,
2,,109,,,,,4.263296127319336,,,,,
2,,114,,,,,4.018207550048828,,,,,
2,,119,,,,,3.982858180999756,,,,,
2,,124,,,,,3.9818475246429443,,,,,
2,,129,,,,,4.052314281463623,,,,,
2,,134,,,,,3.95609712600708,,,,,
2,,139,,,,,4.0165557861328125,,,,,
2,,144,,,,,3.96026611328125,,,,,
2,,149,,,,,3.983821392059326,,,,,
2,,154,,,,,3.9453258514404297,,,,,
2,,155,,,,4.0716166496276855,,30.302608489990234,34.43252944946289,,,
3,,159,,,,,3.943659543991089,,,,,
3,,164,,,,,3.8114571571350098,,,,,
3,,169,,,,,4.010533332824707,,,,,
3,,174,,,,,4.058837890625,,,,,
3,,179,,,,,4.143296241760254,,,,,
3,,184,,,,,3.926297187805176,,,,,
3,,189,,,,,4.030900955200195,,,,,
3,,194,,,,,3.95121169090271,,,,,
3,,199,,,,,3.8543310165405273,,,,,
3,,204,,,,,3.845519781112671,,,,,
3,,207,,,,3.9969727993011475,,29.82474136352539,33.95783615112305,,,
4,,209,,,,,4.260349750518799,,,,,
4,,214,,,,,3.804934501647949,,,,,
4,,219,,,,,3.9484636783599854,,,,,
4,,224,,,,,4.04062557220459,,,,,
4,,229,,,,,4.084587574005127,,,,,
4,,234,,,,,3.835299015045166,,,,,
4,,239,,,,,3.9329280853271484,,,,,
4,,244,,,,,3.9539473056793213,,,,,
4,,249,,,,,3.9024131298065186,,,,,
4,,254,,,,,3.8822009563446045,,,,,
4,,259,,,,,3.861473560333252,,,,,
4,,259,,,,,,,,4.2898125648498535,29.546667098999023,34.01166534423828
4,,259,,,,3.9470901489257812,,29.336566925048828,33.49721145629883,,,
5,,264,,,,,3.90393328666687,,,,,
5,,269,,,,,4.1007585525512695,,,,,
5,,274,,,,,3.913421630859375,,,,,
5,,279,,,,,3.7815232276916504,,,,,
5,,284,,,,,4.001032829284668,,,,,
5,,289,,,,,3.955270767211914,,,,,
5,,294,,,,,4.098489761352539,,,,,
5,,299,,,,,3.9525089263916016,,,,,
5,,304,,,,,3.85286283493042,,,,,
5,,309,,,,,3.7282967567443848,,,,,
5,,311,,,,3.8999252319335938,,28.8302001953125,33.002864837646484,,,
6,,314,,,,,3.818126678466797,,,,,
6,,319,,,,,3.7892723083496094,,,,,
6,,324,,,,,3.7449584007263184,,,,,
6,,329,,,,,3.922502040863037,,,,,
6,,334,,,,,3.759185314178467,,,,,
6,,339,,,,,3.821347713470459,,,,,
6,,344,,,,,3.7247531414031982,,,,,
6,,349,,,,,3.9089837074279785,,,,,
6,,354,,,,,3.819905996322632,,,,,
6,,359,,,,,3.8093490600585938,,,,,
6,,363,,,,3.86959171295166,,28.38568878173828,32.566375732421875,,,
7,,364,,,,,3.761948585510254,,,,,
7,,369,,,,,3.9956350326538086,,,,,
7,,374,,,,,3.868805408477783,,,,,
7,,379,,,,,3.6634912490844727,,,,,
7,,384,,,,,4.083288192749023,,,,,
7,,389,,,,,3.8583340644836426,,,,,
7,,394,,,,,3.8356246948242188,,,,,
7,,399,,,,,4.259574890136719,,,,,
7,,404,,,,,3.9474456310272217,,,,,
7,,409,,,,,4.003017425537109,,,,,
7,,414,,,,,3.7538394927978516,,,,,
7,,415,,,,3.865542411804199,,28.05457878112793,32.26316833496094,,,
8,,419,,,,,3.829313278198242,,,,,
8,,424,,,,,3.7483983039855957,,,,,
8,,429,,,,,3.7300288677215576,,,,,
8,,434,,,,,3.791215419769287,,,,,
8,,439,,,,,3.8965682983398438,,,,,
8,,444,,,,,3.8667263984680176,,,,,
8,,449,,,,,3.7156307697296143,,,,,
8,,454,,,,,3.8964860439300537,,,,,
8,,459,,,,,3.871281147003174,,,,,
8,,464,,,,,3.8023159503936768,,,,,
8,,467,,,,3.834362030029297,,27.841115951538086,32.04319763183594,,,
9,,469,,,,,3.546736240386963,,,,,
9,,474,,,,,3.8508505821228027,,,,,
9,,479,,,,,3.850339651107788,,,,,
9,,484,,,,,3.8228211402893066,,,,,
9,,489,,,,,3.7826170921325684,,,,,
9,,494,,,,,3.7854156494140625,,,,,
9,,499,,,,,3.801131010055542,,,,,
9,,504,,,,,3.81207013130188,,,,,
9,,509,,,,,3.846776008605957,,,,,
9,,514,,,,,3.658733606338501,,,,,
9,,519,,,,,3.9324722290039062,,,,,
9,,519,,,,,,,,3.9361279010772705,28.889999389648438,33.372894287109375
9,,519,,,,3.835541248321533,,27.74408721923828,31.95738983154297,,,
10,4.846347332000732,520,676.3535766601562,28.423423767089844,32.65522003173828,,,,,,,
