epoch,step,train_loss_epoch,train_loss_step,train_mae_epoch,train_rmse_epoch,val_loss,val_mae,val_rmse
0,4,,8.675533294677734,,,,,
0,9,,6.458596229553223,,,,,
0,14,,7.783663749694824,,,,,
0,19,,7.5024003982543945,,,,,
0,24,,6.9117608070373535,,,,,
0,29,,5.614311218261719,,,,,
0,34,,5.972005844116211,,,,,
0,39,,4.415674209594727,,,,,
0,44,,4.732231140136719,,,,,
0,49,,4.382864952087402,,,,,
0,54,,4.049044609069824,,,,,
0,59,,4.294519424438477,,,,,
0,64,,4.149971008300781,,,,,
0,69,,4.04403829574585,,,,,
0,74,,4.259357452392578,,,,,
0,78,14.397441864013672,,31.91264533996582,35.41025924682617,,,
1,79,,4.076816082000732,,,,,
1,84,,4.060296535491943,,,,,
1,89,,4.070341110229492,,,,,
1,94,,3.9747045040130615,,,,,
1,99,,4.092324256896973,,,,,
1,104,,4.056922435760498,,,,,
1,109,,3.977630376815796,,,,,
1,114,,3.954909324645996,,,,,
1,119,,3.9724860191345215,,,,,
1,124,,3.884108304977417,,,,,
1,129,,3.9681427478790283,,,,,
1,134,,4.013757228851318,,,,,
1,139,,4.048494338989258,,,,,
1,144,,4.054455757141113,,,,,
1,149,,4.013425827026367,,,,,
1,154,,4.081830978393555,,,,,
1,157,4.041699409484863,,31.18388557434082,34.74878692626953,,,
2,159,,4.065577030181885,,,,,
2,164,,3.7975759506225586,,,,,
2,169,,3.851444721221924,,,,,
2,174,,3.886108875274658,,,,,
2,179,,3.937488079071045,,,,,
2,184,,4.009005069732666,,,,,
2,189,,3.907538890838623,,,,,
2,194,,3.9075398445129395,,,,,
2,199,,3.8420090675354004,,,,,
2,204,,3.8115930557250977,,,,,
2,209,,4.0216875076293945,,,,,
2,214,,3.771061420440674,,,,,
2,219,,3.8972389698028564,,,,,
2,224,,3.9599051475524902,,,,,
2,229,,3.9558420181274414,,,,,
2,234,,3.8502278327941895,,,,,
2,236,3.9580349922180176,,29.66334342956543,33.331851959228516,,,
3,239,,3.8405823707580566,,,,,
3,244,,3.914374351501465,,,,,
3,249,,4.031333923339844,,,,,
3,254,,3.831651210784912,,,,,
3,259,,3.915038824081421,,,,,
3,264,,4.060230255126953,,,,,
3,269,,3.819547414779663,,,,,
3,274,,3.908815622329712,,,,,
3,279,,3.747803211212158,,,,,
3,284,,3.727830648422241,,,,,
3,289,,3.8372018337249756,,,,,
3,294,,4.033994197845459,,,,,
3,299,,3.6995887756347656,,,,,
3,304,,4.022177696228027,,,,,
3,309,,3.7379112243652344,,,,,
3,314,,3.7347121238708496,,,,,
3,315,3.86564564704895,,27.688074111938477,31.458877563476562,,,
4,319,,3.932790994644165,,,,,
4,324,,3.727517604827881,,,,,
4,329,,3.674461841583252,,,,,
4,334,,3.646526336669922,,,,,
4,339,,3.732797622680664,,,,,
4,344,,3.778311252593994,,,,,
4,349,,3.7687861919403076,,,,,
4,354,,3.763118267059326,,,,,
4,359,,3.6040754318237305,,,,,
4,364,,3.770219326019287,,,,,
4,369,,3.7147252559661865,,,,,
4,374,,3.676163911819458,,,,,
4,379,,3.6665830612182617,,,,,
4,384,,3.7077670097351074,,,,,
4,389,,3.6449637413024902,,,,,
4,394,,3.7621066570281982,,,,,
4,394,,,,,3.7645914554595947,25.123332977294922,29.649677276611328
4,394,3.7542057037353516,,25.32588768005371,29.18906593322754,,,
5,399,,3.5838494300842285,,,,,
5,404,,3.782153367996216,,,,,
5,409,,3.756693124771118,,,,,
5,414,,3.6296870708465576,,,,,
5,419,,3.709810733795166,,,,,
5,424,,3.6099796295166016,,,,,
5,429,,3.6955995559692383,,,,,
5,434,,3.4693262577056885,,,,,
5,439,,3.7176496982574463,,,,,
5,444,,3.664292335510254,,,,,
5,449,,3.5722389221191406,,,,,
5,454,,3.8251028060913086,,,,,
5,459,,3.58357572555542,,,,,
5,464,,3.6660921573638916,,,,,
5,469,,3.444206714630127,,,,,
5,473,3.6187381744384766,,22.296768188476562,26.25819206237793,,,
6,474,,3.358941078186035,,,,,
6,479,,3.5103540420532227,,,,,
6,484,,3.4140772819519043,,,,,
6,489,,3.544717788696289,,,,,
6,494,,3.5563700199127197,,,,,
6,499,,3.6419992446899414,,,,,
6,504,,3.446690082550049,,,,,
6,509,,3.56679630279541,,,,,
6,514,,3.591111660003662,,,,,
6,519,,3.4973607063293457,,,,,
6,524,,3.254453182220459,,,,,
6,529,,3.5652952194213867,,,,,
6,534,,3.4736618995666504,,,,,
6,539,,3.4972004890441895,,,,,
6,544,,3.2950825691223145,,,,,
6,549,,3.352651834487915,,,,,
6,552,3.4478139877319336,,18.789390563964844,22.867101669311523,,,
7,554,,3.4375531673431396,,,,,
7,559,,3.3486976623535156,,,,,
7,564,,3.297455072402954,,,,,
7,569,,3.486711025238037,,,,,
7,574,,3.3408279418945312,,,,,
7,579,,3.559016704559326,,,,,
7,584,,3.308563709259033,,,,,
7,589,,3.4541635513305664,,,,,
7,594,,3.1401476860046387,,,,,
7,599,,3.225897789001465,,,,,
7,604,,3.2404420375823975,,,,,
7,609,,3.0871193408966064,,,,,
7,614,,3.156222343444824,,,,,
7,619,,3.033834457397461,,,,,
7,624,,3.4299402236938477,,,,,
7,629,,3.210604190826416,,,,,
7,631,3.2802624702453613,,15.615875244140625,19.777753829956055,,,
8,634,,3.063502311706543,,,,,
8,639,,3.190700054168701,,,,,
8,644,,3.054340362548828,,,,,
8,649,,2.914078950881958,,,,,
8,654,,3.243401527404785,,,,,
8,659,,2.9947004318237305,,,,,
8,664,,3.069899082183838,,,,,
8,669,,3.5952751636505127,,,,,
8,674,,3.3448212146759033,,,,,
8,679,,3.329294204711914,,,,,
8,684,,2.8985090255737305,,,,,
8,689,,3.247708320617676,,,,,
8,694,,3.1122658252716064,,,,,
8,699,,3.0070409774780273,,,,,
8,704,,3.1048471927642822,,,,,
8,709,,3.1703271865844727,,,,,
8,710,3.164769172668457,,13.619465827941895,17.769004821777344,,,
9,714,,3.1516947746276855,,,,,
9,719,,3.0758862495422363,,,,,
9,724,,3.2801384925842285,,,,,
9,729,,2.963857412338257,,,,,
9,734,,3.0795369148254395,,,,,
9,739,,3.1452789306640625,,,,,
9,744,,3.036008834838867,,,,,
9,749,,3.204765796661377,,,,,
9,754,,3.1477675437927246,,,,,
9,759,,3.2495341300964355,,,,,
9,764,,3.138711929321289,,,,,
9,769,,3.0451128482818604,,,,,
9,774,,3.052922487258911,,,,,
9,779,,3.0250132083892822,,,,,
9,784,,3.4472146034240723,,,,,
9,789,,2.7240750789642334,,,,,
9,789,,,,,3.352022647857666,14.986666679382324,19.074766159057617
9,789,3.118478298187256,,12.965696334838867,17.117895126342773,,,
