epoch,nll,step,test_loss,test_mae,test_rmse,train_loss_epoch,train_loss_step,train_mae_epoch,train_rmse_epoch
0,,4,,,,,6.485518455505371,,
0,,9,,,,,5.572941780090332,,
0,,14,,,,,6.359149932861328,,
0,,19,,,,,6.4140520095825195,,
0,,24,,,,,5.9710164070129395,,
0,,29,,,,,4.818639755249023,,
0,,34,,,,,4.599152088165283,,
0,,39,,,,,4.639471530914307,,
0,,44,,,,,4.44914436340332,,
0,,49,,,,,4.3487091064453125,,
0,,54,,,,,4.434592247009277,,
0,,59,,,,,4.227352619171143,,
0,,64,,,,,4.276234149932861,,
0,,69,,,,,4.1548075675964355,,
0,,74,,,,,4.134250640869141,,
0,,78,,,,15.429892539978027,,31.65459632873535,34.8023567199707
1,10.839351654052734,79,162384314368.0,30.471847534179688,34.634498596191406,,,,
