epoch,nll,step,test_loss,test_mae,test_rmse,train_loss_epoch,train_loss_step,train_mae_epoch,train_rmse_epoch
0,,4,,,,,8.19455337524414,,
0,,9,,,,,5.333351135253906,,
0,,14,,,,,6.711795806884766,,
0,,19,,,,,7.227759838104248,,
0,,24,,,,,7.055610179901123,,
0,,29,,,,,6.360750675201416,,
0,,34,,,,,5.510547161102295,,
0,,39,,,,,5.064749717712402,,
0,,44,,,,,4.681588649749756,,
0,,49,,,,,4.095149040222168,,
0,,54,,,,,4.254949569702148,,
0,,59,,,,,4.097434043884277,,
0,,64,,,,,4.1214094161987305,,
0,,69,,,,,4.13187313079834,,
0,,74,,,,,4.0660552978515625,,
0,,79,,,,,4.1089324951171875,,
0,,84,,,,,3.9148640632629395,,
0,,89,,,,,4.436607360839844,,
0,,94,,,,,4.010095596313477,,
0,,99,,,,,3.991697072982788,,
0,,99,,,,13.522422790527344,,29.101694107055664,32.38432312011719
1,7.258909702301025,100,730358.5,29.80893325805664,33.99413299560547,,,,
