epoch,nll,step,test_loss,test_mae,test_rmse,train_loss_epoch,train_loss_step,train_mae_epoch,train_rmse_epoch
0,,4,,,,,7.67057991027832,,
0,,9,,,,,5.824414253234863,,
0,,14,,,,,6.837519645690918,,
0,,19,,,,,7.287336826324463,,
0,,24,,,,,6.91546630859375,,
0,,29,,,,,6.005641937255859,,
0,,34,,,,,4.927508354187012,,
0,,39,,,,,4.291075229644775,,
0,,44,,,,,4.861076354980469,,
0,,49,,,,,4.767288684844971,,
0,,54,,,,,4.605358123779297,,
0,,59,,,,,5.206610679626465,,
0,,64,,,,,4.146545886993408,,
0,,69,,,,,4.089436054229736,,
0,,74,,,,,4.168942451477051,,
0,,79,,,,,4.225405693054199,,
0,,84,,,,,4.330165863037109,,
0,,84,,,,16.752500534057617,,33.59481430053711,37.77737045288086
1,8.411452293395996,85,29333102.0,30.838212966918945,34.994834899902344,,,,
