epoch,nll,step,test_loss,test_mae,test_rmse,train_loss_epoch,train_loss_step,train_mae_epoch,train_rmse_epoch
0,,4,,,,,5.781846523284912,,
0,,9,,,,,5.407071113586426,,
0,,14,,,,,5.9993577003479,,
0,,19,,,,,6.339545726776123,,
0,,24,,,,,6.285505771636963,,
0,,29,,,,,5.6726508140563965,,
0,,34,,,,,4.839807987213135,,
0,,39,,,,,5.137204170227051,,
0,,44,,,,,4.692693710327148,,
0,,49,,,,,4.944122314453125,,
0,,51,,,,25.012784957885742,,31.250303268432617,35.15670394897461
1,10.80444622039795,52,9680540672.0,28.775150299072266,33.09341049194336,,,,
