epoch,nll,step,test_loss,test_mae,test_rmse,train_loss_epoch,train_loss_step,train_mae_epoch,train_rmse_epoch
0,,4,,,,,17.696809768676758,,
0,,9,,,,,5.8868408203125,,
0,,14,,,,,7.4689741134643555,,
0,,19,,,,,7.7056193351745605,,
0,,24,,,,,7.389801025390625,,
0,,29,,,,,6.278197288513184,,
0,,34,,,,,5.543729782104492,,
0,,39,,,,,4.935296058654785,,
0,,44,,,,,4.859347343444824,,
0,,49,,,,,4.401554107666016,,
0,,53,,,,29.29340362548828,,37.5847053527832,41.41946029663086
1,7.603171348571777,54,159.05685424804688,35.03190612792969,38.78879928588867,,,,
